,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
930,59903.49102,220.88,1.97,41.6,0.5,2.92,1452.6,11.5,210,26.1,0.121,0.001,8.76,-3.7,3.1,2.9,97.2,4.7,-24.9,3.5
931,59903.49126,225.33,0.9,71.2,0.9,7.61,1171.3,2.7,180.1,8.7,0.542,0.007,39.08,-3.5,0.6,0.6,99.4,1.8,-7.9,1.3
932,59903.49189,219.48,0.17,39.1,0.5,2.34,1022.3,3.4,76.4,7.3,0.092,0.001,6.61,6.7,7.2,7.7,84.9,7.8,-16.4,6.1
933,59903.49266,218.75,0.1,267.3,3.2,14.33,1007.7,4.1,191.4,6.2,3.83,0.046,276.27,-0.9,0.2,0.2,97.8,0.4,17.9,0.3
934,59903.49347,224.68,4.06,21.2,0.3,2.54,1233.2,8.9,313.9,85.5,0.054,0.001,3.89,16.1,4.4,5.4,94.8,14.2,1.7,10.3
935,59903.49388,226.08,1.22,76.1,0.9,6.56,1034,8.1,226.7,16.2,0.499,0.006,36,-0.1,0.7,0.7,100.5,2.2,9,1.6
936,59903.49415,220.94,3.63,41.4,0.5,2.48,1411.4,6.8,211.8,19.9,0.103,0.001,7.41,0.7,2.5,2.9,96.4,5,2.7,3.6
937,59903.49632,220.71,0.25,32.8,0.4,1.97,1054.7,7.7,148.4,20.1,0.065,0.001,4.65,4.1,6.3,6.3,80,9.5,-15.9,7.5
938,59903.49642,223.68,0.65,36.3,0.4,4.19,1332.9,7.2,202,24.6,0.152,0.002,10.97,5.9,1.7,1.8,95.5,4.6,9.6,3.3
939,59903.49671,223.76,0.48,154.3,1.9,6.57,1376.5,3.8,241.6,12.9,1.013,0.012,73.1,-5.1,0.4,0.4,94.6,0.9,26.2,0.7
940,59903.49671,219.89,0.1,140.9,1.7,7,1027.6,3.8,178.7,7.2,0.987,0.012,71.19,0.7,0.4,0.4,99.8,1,4.3,0.7
941,59903.49675,220.5,0.13,55.4,0.7,4.71,1006.4,3.7,91.9,5.9,0.261,0.003,18.81,5.3,3.1,3.2,84.9,3.3,-14.3,2.6
